StopId,Code,Name,StopType,Zone,Ward,AddressNo,Street,SupportDisability,Status,Lng,Lat,Search,Routes,RouteId,RouteVarId
35,BX 01,Bến xe buýt Sài Gòn,Bến xe,Quận 1,Phường Phạm Ngũ Lão,BẾN XE BUÝT SÀI GÒN,Lê Lai,Có,Đang khai thác,106.689362,10.767676,BxbSG BXBSG LL,"03, 04, 102, 109, 120, 13, 140, 18, 19, 20, 27, 28, 34, 36, 39, 52, 61-6, 65, 69, 70-3, 72, 75, 86, 88, 93, D1",3,5
7276,Q1 190,Tôn Thất Tùng,Trụ dừng,Quận 1,Phường Phạm Ngũ Lão,277-279-275Y,Phạm Ngũ Lão,Có,Đang khai thác,106.690941,10.76767,TTT 277-279-275Y PNL,"03, 04, 102, 109, 140, 18, 19, 20, 28, 34, 36, 39, 46, 52, 65, 69, 72, 75, 86, 88, 93",3,5
7277,Q1 191,Nguyễn Thị Nghĩa,Trụ dừng,Quận 1,Phường Phạm Ngũ Lão,187,Phạm Ngũ Lão,Có,Đang khai thác,106.693699,10.768788,NTN 187 PNL,"03, 04, 102, 109, 140, 18, 19, 20, 28, 34, 36, 39, 46, 52, 65, 69, 72, 93, DL01",3,5
7278,Q1 192,Trường Emst Thalmann,Nhà chờ,Quận 1,Phường Phạm Ngũ Lão,Trường Emst Thalmann,Phạm Ngũ Lão,Có,Đang khai thác,106.695587,10.769504,TET TET PNL,"03, 04, 102, 109, 18, 19, 20, 34, 36, 39, 52, 65, 69, 93",3,5
7265,Q1 179,Trạm Trung chuyển trên đường Hàm Nghi,Nhà chờ,Quận 1,Phường Nguyễn Thái Bình,Hàm nghi 5,Hàm Nghi,Có,Đang khai thác,106.700259,10.770911,TTctdHN Hn5 HN,"03, 45, 53, 61-6, D1",3,5
7266,Q1 180,Trạm Trung chuyển trên đường Hàm Nghi,Nhà chờ,Quận 1,Phường Nguyễn Thái Bình,Hàm Nghi 7,Hàm Nghi,Có,Đang khai thác,106.700807,10.770896,TTctdHN HN7 HN,"01, 03, 04, 19, 56, 88",3,5
7693,Q1 1950,Nam Kỳ Khởi Nghĩa,Nhà chờ,Quận 1,Phường Nguyễn Thái Bình,93-95,Hàm Nghi,Có,Đang khai thác,106.701354,10.770875,NKKN 93-95 HN,"01, 03, 04, 19, 88",3,5
1256,Q1 195,Chợ Cũ,Nhà chờ,Quận 1,Phường Nguyễn Thái Bình,89A,Hàm Nghi,,Đang khai thác,106.701998,10.770811,CC 89A HN,"01, 03, 04, 152, 18, 19, 31, 36, 45, 52, 56, 61-6, 75, 86, 88, 93",3,5
7588,Q1 200,Giao lộ Hàm Nghi - Tôn Thất Đạm,Nhà chờ,Quận 1,Phường Nguyễn Thái Bình,81-83-83B,Hàm Nghi,,Đang khai thác,106.703038,10.77078,GlHN-TTD 81-83-83B HN,03,3,5
32,Q1 017,Hồ Tùng Mậu,Nhà chờ,Quận 1,Phường Nguyễn Thái Bình,67,Hàm Nghi,,Đang khai thác,106.704074,10.770722,HTM 67 HN,"01, 03, 120, 19, 20, 45, 56, 61-6, 75, 88, D1, DL01",3,5
31,Q1 024,Bến Bạch Đằng,Nhà chờ,Quận 1,,Bến thủy nội địa Thủ Thiêm,Tôn Đức Thắng,,Đang khai thác,106.706654,10.774094,BBD BtndTT TDT,"01, 03, 19, 45, 53, 56, 61-6, 88, D1, DL01",3,5
34,Q1 057,Công Trường Mê Linh,Nhà chờ,Quận 1,,2,Hai Bà Trưng,,Đang khai thác,106.705822,10.775997,CTML 2 HBT,"01, 03, 19, 45",3,5
42,Q1 058,Nhà Hát Thành Phố,Ô sơn,Quận 1,,74/A2-74/A4,Hai Bà Trưng,,Đang khai thác,106.703559,10.778031,NHTP 74/A2-74/A4 HBT,"03, 19, 45",3,5
44,Q1 059,Bệnh viện Nhi Đồng 2,Nhà chờ,Quận 1,,Đối diện 115Ter,Hai Bà Trưng,,Đang khai thác,106.701536,10.779881,BvND2 Dd115Ter HBT,"03, 19, 45",3,5
39,Q1 060,Bưu Điện Thành Phố,Trụ dừng,Quận 1,,86,Hai Bà Trưng,,Đang khai thác,106.700673,10.780645,BDTP 86 HBT,"03, 19, 45",3,5
41,Q1 061,Sở Công Thương,Nhà chờ,Quận 1,,142,Hai Bà Trưng,,Đang khai thác,106.696526,10.784297,SCT 142 HBT,"03, 31",3,5
43,Q1 062,Công viên Lê Văn Tám,Nhà chờ,Quận 1,,Đối diện 245,Hai Bà Trưng,,Đang khai thác,106.692599,10.787427,CvLVT Dd245 HBT,"03, 31, 36",3,5
46,Q1 063,Nhà thờ Tân Định,Trụ dừng,Quận 1,,298,Hai Bà Trưng,,Đang khai thác,106.690399,10.789215,NtTD 298 HBT,"03, 31, 36",3,5
47,Q1 064,Chợ Tân Định,Trụ dừng,Quận 1,,372-374,Hai Bà Trưng,,Đang khai thác,106.688843,10.790456,CTD 372-374 HBT,"03, 31, 36",3,5
45,QPN 012,Cầu Kiệu,Ô sơn,Quận Phú Nhuận,,28 - 30,Phan Đình Phùng,,Đang khai thác,106.68481,10.79365,CK 28-30 PDP,03,3,5
49,QPN 013,Chợ Phú Nhuận,Ô sơn,Quận Phú Nhuận,,158 - 160,Phan Đình Phùng,,Đang khai thác,106.683018,10.795062,CPN 158-160 PDP,03,3,5
48,QPN 014,Trường Cao đẳng Kinh tế Đối ngoại,Ô sơn,Quận Phú Nhuận,,312 - 314,Phan Đình Phùng,,Đang khai thác,106.680905,10.79795,TCdKtDn 312-314 PDP,03,3,5
50,QPN 001,Ngã tư Phú Nhuận,Trụ dừng,Quận Phú Nhuận,,392,Nguyễn Kiệm,,Đang khai thác,106.680138,10.799713,NtPN 392 NK,"03, 55",3,5
51,QPN 002,Nhà Truyền Thông,Trụ dừng,Quận Phú Nhuận,,466,Nguyễn Kiệm,,Đang khai thác,106.679245,10.802232,NTT 466 NK,"03, 55",3,5
52,QPN 003 ,Ngã ba Hồ Văn Huê,Trụ dừng,Quận Phú Nhuận,,582,Nguyễn Kiệm,,Đang khai thác,106.678759,10.805259,NbHVH 582 NK,"03, 55",3,5
53,QPN 004,Coop Mart Nguyễn Kiệm,Trụ dừng,Quận Phú Nhuận,,668-670,Nguyễn Kiệm,,Đang khai thác,106.678528,10.807077,CMNK 668-670 NK,"03, 55",3,5
54,QPN 005,Chùa Vạn Hạnh,Nhà chờ,Quận Phú Nhuận,,750,Nguyễn Kiệm,,Đang khai thác,106.67856,10.810349,CVH 750 NK,"03, 55",3,5
55,QGV 125,Trường Cao đẳng Hải Quan,Nhà chờ,Quận Gò Vấp,,780A,Nguyễn Kiệm,,Đang khai thác,106.678711,10.812475,TCdHQ 780A NK,"03, 55",3,5
